Key,Concert,First Date,# Performances,Piece,Composer,ComposerNationality,ComposerTimeline,ComposerStatus,ComposerGender,Conductor,ConductorNationality,ConductorGender,Artist_Metadata
dramatic-mozart,Dramatic Mozart,2018-02-01,3,Don Giovanni: Overture,Wolfgang Amadeus Mozart,Austria,1756-1791,Dead,Male,David Robertson,United States,Male,"[('Piano', 'Emanuel Ax')]"
dramatic-mozart,Dramatic Mozart,2018-02-01,3,"Piano Concerto No.14 in E flat, K449",Wolfgang Amadeus Mozart,Austria,1756-1791,Dead,Male,David Robertson,United States,Male,"[('Piano', 'Emanuel Ax')]"
dramatic-mozart,Dramatic Mozart,2018-02-01,3,"Piano Concerto No.20 in D minor, K466",Wolfgang Amadeus Mozart,Austria,1756-1791,Dead,Male,David Robertson,United States,Male,"[('Piano', 'Emanuel Ax')]"
dramatic-mozart,Dramatic Mozart,2018-02-01,3,Symphony No.40,Wolfgang Amadeus Mozart,Austria,1756-1791,Dead,Male,David Robertson,United States,Male,"[('Piano', 'Emanuel Ax')]"
seductive-mozart,Seductive Mozart,2018-02-05,2,Così fan tutte: Overture,Wolfgang Amadeus Mozart,Austria,1756-1791,Dead,Male,David Robertson,United States,Male,"[('Piano', 'Emanuel Ax')]"
seductive-mozart,Seductive Mozart,2018-02-05,2,"Piano Concerto No.16 in D, K451",Wolfgang Amadeus Mozart,Austria,1756-1791,Dead,Male,David Robertson,United States,Male,"[('Piano', 'Emanuel Ax')]"
seductive-mozart,Seductive Mozart,2018-02-05,2,"Piano Concerto No.17 in G, K453",Wolfgang Amadeus Mozart,Austria,1756-1791,Dead,Male,David Robertson,United States,Male,"[('Piano', 'Emanuel Ax')]"
seductive-mozart,Seductive Mozart,2018-02-05,2,Symphony No.39,Wolfgang Amadeus Mozart,Austria,1756-1791,Dead,Male,David Robertson,United States,Male,"[('Piano', 'Emanuel Ax')]"
magnificent-mozart,Magnificent Mozart,2018-02-09,2,"Piano Concerto No.19 in F, K459",Wolfgang Amadeus Mozart,Austria,1756-1791,Dead,Male,David Robertson,United States,Male,"[('Piano', 'Emanuel Ax')]"
magnificent-mozart,Magnificent Mozart,2018-02-09,2,"Piano Concerto No.27 in B flat, K595",Wolfgang Amadeus Mozart,Austria,1756-1791,Dead,Male,David Robertson,United States,Male,"[('Piano', 'Emanuel Ax')]"
magnificent-mozart,Magnificent Mozart,2018-02-09,2,Symphony No.41 (Jupiter),Wolfgang Amadeus Mozart,Austria,1756-1791,Dead,Male,David Robertson,United States,Male,"[('Piano', 'Emanuel Ax')]"
