Composer,ComposerFullName,Gender
Adams,John Adams,Male
Ades,Thomas Adès,Male
Adès,Thomas Adès,Male
Bach,Johann Sebastian Bach,Male
Bainton,Edgar Bainton,Male
Barber,Samuel Barber,Male
Bartók,Béla Bartók,Male
Beethoven,Ludwig van Beethoven,Male
Bellini,Vincenzo Bellini,Male
Ben Folds,Ben Folds,Male
Benj Pasek and Justin Paul,Benj Pasek and Justin Paul,Male
Berio,Luciano Berio,Male
Berlioz,Hector Berlioz,Male
Bernstein,Leonard Bernstein,Male
Berwald,Franz Berwald,Male
Bizet,Georges Bizet,Male
Boccherini,Luigi Boccherini,Male
Borodin,Alexander Borodin,Male
Brahms,Johannes Brahms,Male
Bresnick,Martin Bresnick,Male
Britten,Benjamin Britten,Male
Bruch,Max Bruch,Male
Bruckner,Anton Bruckner,Male
Butterworth,George Butterworth,Male
Byrd,William Byrd,Male
Cab Calloway,Cab Calloway,Male
Canteloube,Joseph Canteloube,Male
Carissimi,Giacomo Carissimi,Male
Chabrier,Emmanuel Chabrier,Male
Charpentier,Marc-Antoine Charpentier,Male
Chausson,Ernest Chausson,Male
Chen Qigang,Qigang Chen,Male
Chopin,Frédéric Chopin,Male
Clarke,Jeremiah Clarke,Male
Claude-Michel Schönberg,Claude-Michel Schönberg,Male
Cole Porter,Cole Porter,Male
Connesson,Guillaume Connesson,Male
Connor D’Netto,Connor D’Netto,Male
Constable,Timothy Constable,Male
Copland,Aaron Copland,Male
Corelli,Arcangelo Corelli,Male
Count Basie,Count Basie,Male
Dallapiccola,Luigi Dallapiccola,Male
David Arnold,David Arnold,Male
David Stanhope,David Stanhope,Male
Dean,Brett Dean,Male
Debussy,Claude Debussy,Male
Dohnányi,Ernő Dohnányi,Male
Donizetti,Gaetano Donizetti,Male
Dukas,Paul Dukas,Male
Duke Ellington,Duke Ellington,Male
Duruflé,Maurice Duruflé,Male
Dvořák,Antonín Dvořák,Male
Edwards,Ross Edwards,Male
Elgar,Edward Elgar,Male
Erich Korngold,Erich Wolfgang Korngold,Male
Eskimo Joe,Eskimo Joe,Unknown
Evanescence,Evanescence,Unknown
Ewazen,Eric Ewazen,Male
Falla,Manuel de Falla,Male
Fauré,Gabriel Fauré,Male
Finsterer,Mary Finsterer,Female
Françaix,Jean Françaix,Male
Frescobaldi,Girolamo Frescobaldi,Male
Gabrieli,Giovanni Gabrieli,Male
George Gershwin,George Gershwin,Male
Gershwin,George Gershwin,Male
Gigout,Eugène Gigout,Male
Glass,Philip Glass,Male
Glazunov,Alexander Glazunov,Male
Gordon Hamilton,Gordon Hamilton,Male
Grainger,Percy Grainger,Male
Gran,Peter Grans,Male
Granados,Enrique Granados,Male
Grieg,Edvard Grieg,Male
Guilmant,Alexandre Guilmant,Male
Handel,George Frideric Handel,Male
Hans Zimmer,Hans Zimmer,Male
Harry Sdraulig,Harry Sdraulig,Male
Haydn,Joseph Haydn,Male
Henry Mancini,Henry Mancini,Male
Heuberger,Richard Heuberger,Male
Hildegard Of Bingen,Hildegard of Bingen,Female
Hindson,Matthew Hindson,Male
Hoadley,Ben Hoadley,Male
Holst,Gustav Holst,Male
Hovhaness,Alan Hovhaness,Male
Huang,An-lun Huang,Male
Humperdinck,Engelbert Humperdinck,Male
Ibert,Jacques Ibert,Male
Ives,Charles Ives,Male
J Anderson,Julian Anderson,Male
J. Strauss Jr.,Johann Strauss II,Male
J. Strauss Sr.,Johann Strauss I,Male
Jaakko Kuusisto,Jaakko Kuusisto,Male
Janacek,Leoš Janáček,Male
Janáček,Leoš Janáček,Male
Jóhann Jóhannsson,Jóhann Jóhannsson,Male
John Adams,John Adams,Male
John Williams,John Williams,Male
Jolivet,André Jolivet,Male
Jonny Greenwood,Jonny Greenwood,Male
Joseph Martin Kraus,Joseph Martin Kraus,Male
JS Bach,Johann Sebastian Bach,Male
Juan Carmona,Juan Carmona,Male
Jule Styne,Jule Styne,Male
K Abbott,Katy Abbott,Female
Kalinnikov,Vasily Kalinnikov,Male
Kats-Chernin,Elena Kats-Chernin,Female
Kernis,Aaron Jay Kernis,Male
