Composer,Timeline,Nationality,Status,Gender
John Adams,born 1947,United States,Living,Male
Thomas Adès,born 1971,United Kingdom,Living,Male
Johann Sebastian Bach,1685-1750,Germany,Dead,Male
Edgar Bainton,1880-1956,United Kingdom,Dead,Male
Samuel Barber,1910-1981,United States,Dead,Male
Béla Bartók,1881-1945,Hungary,Dead,Male
Ludwig van Beethoven,1770-1827,Germany,Dead,Male
Vincenzo Bellini,1801-1835,Italy,Dead,Male
Ben Folds,born 1966,United States,Living,Male
Benj Pasek and Justin Paul,born 1985,United States,Living,Male
Luciano Berio,1925-2003,Italy,Dead,Male
Hector Berlioz,1803-1869,France,Dead,Male
Leonard Bernstein,1918-1990,United States,Dead,Male
Franz Berwald,1796-1868,Sweden,Dead,Male
Georges Bizet,1838-1875,France,Dead,Male
Luigi Boccherini,1743-1805,Italy,Dead,Male
Alexander Borodin,1833-1887,Russia,Dead,Male
Johannes Brahms,1833-1897,Germany,Dead,Male
Martin Bresnick,born 1946,United States,Living,Male
Benjamin Britten,1913-1976,United Kingdom,Dead,Male
Max Bruch,1838-1920,Germany,Dead,Male
Anton Bruckner,1824-1896,Austria,Dead,Male
George Butterworth,1885-1916,United Kingdom,Dead,Male
William Byrd,c. 1540-1623,United Kingdom,Dead,Male
Cab Calloway,1907-1994,United States,Dead,Male
Joseph Canteloube,1879-1957,France,Dead,Male
Giacomo Carissimi,1605-1674,Italy,Dead,Male
Emmanuel Chabrier,1841-1894,France,Dead,Male
Marc-Antoine Charpentier,1643-1704,France,Dead,Male
Ernest Chausson,1855-1899,France,Dead,Male
Qigang Chen,born 1951,France,Living,Male
Frédéric Chopin,1810-1849,Poland,Dead,Male
Jeremiah Clarke,c. 1674-1707,United Kingdom,Dead,Male
Claude-Michel Schönberg,born 1944,France,Living,Male
Cole Porter,1891-1964,United States,Dead,Male
Guillaume Connesson,born 1970,France,Living,Male
Connor D’Netto,born 1994,Australia,Living,Male
Timothy Constable,born 1981,Australia,Living,Male
Aaron Copland,1900-1990,United States,Dead,Male
Arcangelo Corelli,1653-1713,Italy,Dead,Male
Count Basie,1904-1984,United States,Dead,Male
Luigi Dallapiccola,1904-1975,Italy,Dead,Male
David Arnold,born 1962,United Kingdom,Living,Male
David Stanhope,born 1952,United Kingdom,Living,Male
Brett Dean,born 1961,Australia,Living,Male
Claude Debussy,1862-1918,France,Dead,Male
Ernő Dohnányi,1877-1960,Hungary,Dead,Male
Gaetano Donizetti,1797-1848,Italy,Dead,Male
Paul Dukas,1865-1935,France,Dead,Male
Duke Ellington,1899-1974,United States,Dead,Male
Maurice Duruflé,1902-1986,France,Dead,Male
Antonín Dvořák,1841-1904,Czech Republic,Dead,Male
Ross Edwards,born 1943,Australia,Living,Male
Edward Elgar,1857-1934,United Kingdom,Dead,Male
Erich Wolfgang Korngold,1897-1957,United States,Dead,Male
Eskimo Joe,born 1997,Australia,Living,Unknown
Evanescence,born 1995,United States,Living,Unknown
Eric Ewazen,born 1954,United States,Living,Male
Manuel de Falla,1876-1946,Spain,Dead,Male
Gabriel Fauré,1845-1924,France,Dead,Male
Mary Finsterer,born 1962,Australia,Living,Female
Jean Françaix,1912-1997,France,Dead,Male
Girolamo Frescobaldi,1583-1643,Italy,Dead,Male
Giovanni Gabrieli,1557-1612,Italy,Dead,Male
George Gershwin,1898-1937,United States,Dead,Male
Eugène Gigout,1844-1925,France,Dead,Male
Philip Glass,born 1937,United States,Living,Male
Alexander Glazunov,1865-1936,Russia,Dead,Male
Gordon Hamilton,born 1982,Australia,Living,Male
Percy Grainger,1882-1961,Australia,Dead,Male
Peter Grans,born 1954,Finland,Living,Male
Enrique Granados,1867-1916,Spain,Dead,Male
Edvard Grieg,1843-1907,Norway,Dead,Male
Alexandre Guilmant,1837-1911,France,Dead,Male
George Frideric Handel,1685-1759,Germany,Dead,Male
Hans Zimmer,born 1957,Germany,Living,Male
Harry Sdraulig,born 1992,Australia,Living,Male
Joseph Haydn,1732-1809,Austria,Dead,Male
Henry Mancini,1924-1994,United States,Dead,Male
Richard Heuberger,1850-1914,Austria,Dead,Male
Hildegard of Bingen,1098-1179,Germany,Dead,Female
Matthew Hindson,born 1968,Australia,Living,Male
Ben Hoadley,born 197?,New Zealand,Living,Male
Gustav Holst,1874-1934,United Kingdom,Dead,Male
Alan Hovhaness,1911-2000,United States,Dead,Male
An-lun Huang,born 1949,Canada,Living,Male
Engelbert Humperdinck,1854-1921,Germany,Dead,Male
Jacques Ibert,1890-1962,France,Dead,Male
Charles Ives,1874-1954,United States,Dead,Male
Julian Anderson,born 1967,United Kingdom,Living,Male
Johann Strauss II,1825-1899,Austria,Dead,Male
Johann Strauss I,1804-1849,Austria,Dead,Male
Jaakko Kuusisto,born 1974,Finland,Living,Male
Leoš Janáček,1854-1928,Czech Republic,Dead,Male
Jóhann Jóhannsson,1969-2018,Iceland,Dead,Male
John Williams,born 1932,United States,Living,Male
André Jolivet,1905-1974,France,Dead,Male
Jonny Greenwood,born 1971,United Kingdom,Living,Male
Joseph Martin Kraus,1756-1792,Germany,Dead,Male
Juan Carmona,born 1963,France,Living,Male
Jule Styne,1905-1994,United States,Dead,Male
Katy Abbott,born 1971,Australia,Living,Female
Vasily Kalinnikov,1866-1901,Russia,Dead,Male
Elena Kats-Chernin,born 1957,Australia,Living,Female
Aaron Jay Kernis,born 1960,United States,Living,Male
Aram Khachaturian,1903-1978,Armenia,Dead,Male
Komitas,1869-1935,Armenia,Dead,Male
Eckhard Kopetzki,born 1956,Germany,Living,Male
Leopold Mozart,1719-1787,Austria,Dead,Male
Lachlan Skipworth,born 1982,Australia,Living,Male
Jean Langlais,1907-1991,France,Dead,Male
Morten Lauridsen,born 1943,United States,Living,Male
James Ledger,born 1966,Australia,Living,Male
Lee and Cleworth,born 19??,Australia,Dead,Male
Li Huanzhi,1919-2000,China,Dead,Male
György Sándor Ligeti,1923-2006,Hungary,Dead,Male
Douglas Lilburn,1915-2001,New Zealand,Dead,Male
Lisa Illean,born 1983,Australia,Living,Female
Franz Liszt,1811-1886,Hungary,Dead,Male
Liu Tieshan and Mao Yuan,born 192?,China,Living,Male
William Lovelock,1899-1986,Australia,Dead,Male
Hans Christian Lumbye,1810-1874,Denmark,Dead,Male
Witold Lutosławski,1913-1994,Poland,Dead,Male
Ella Macens,born 1991,Australia,Living,Female
James MacMillan,born 1959,United Kingdom,Living,Male
Gustav Mahler,1860-1911,Austria,Dead,Male
Bryony Marks,born 1971,Australia,Living,Female
Arturo Márquez,born 1950,Mexico,Living,Male
Wynton Marsalis,born 1961,United States,Living,Male
István Márta,born 1952,Hungary,Living,Male
Bohuslav Martinů,1890-1959,Czech Republic,Dead,Male
Jules Massenet,1842-1912,France,Dead,Male
Max Richter,born 1966,United Kingdom,Living,Male
Nikolai Medtner,1880-1951,Russia,Dead,Male
Felix Mendelssohn,1809-1847,Germany,Dead,Male
Olivier Messiaen,1908-1992,France,Dead,Male
Krzysztof Meyer,born 1943,Poland,Living,Male
Minoru Miki,1930-2011,Japan,Dead,Male
Darius Milhaud,1892-1974,France,Dead,Male
Richard Mills,born 1949,Australia,Living,Male
Claudio Monteverdi,1567-1643,Italy,Dead,Male
Wolfgang Amadeus Mozart,1756-1791,Austria,Dead,Male
Alessio Murgia,born 1965,Italy,Living,Male
Modest Mussorgsky,1839-1881,Russia,Dead,Male
Nikolai Myaskovsky,1881-1950,Russia,Dead,Male
Carl Nielsen,1865-1931,Denmark,Dead,Male
Akira Nishimura,born 1953,Japan,Living,Male
Ignacy Jan Paderewski,1864-1941,Poland,Dead,Male
Paloma Faith,born 1981,United Kingdom,Living,Female
Hubert Parry,1848-1918,United Kingdom,Dead,Male
Arvo Pärt,born 1935,Estonia,Living,Male
Paul Patterson,born 1947,United Kingdom,Living,Male
Paul Stanhope,born 1969,Australia,Living,Male
Astor Piazzolla,1921-1992,Argentina,Dead,Male
Peggy Polias,born 1981,Australia,Living,Female
Francis Poulenc,1899-1963,France,Dead,Male
André Previn,1929-2019,United States,Dead,Male
Sergei Prokofiev,1891-1953,Russia,Dead,Male
Giacomo Puccini,1858-1924,Italy,Dead,Male
Henry Purcell,1659-1695,United Kingdom,Dead,Male
Richard Strauss,1864-1949,Germany,Dead,Male
Sergei Rachmaninov,1873-1943,Russia,Dead,Male
Maurice Ravel,1875-1937,France,Dead,Male
Jean-Féry Rebel,1666-1747,France,Dead,Male
Max Reger,1873-1916,Germany,Dead,Male
Steve Reich,born 1936,United States,Living,Male
Detlef Reikow,born 19??,Germany,Living,Male
Nikolai Rimsky-Korsakov,1844-1908,Russia,Dead,Male
Robert B. and Richard M. Sherman,born 1925/8,United States,Living,Male
Joaquín Rodrigo,1901-1999,Spain,Dead,Male
Gioachino Rossini,1792-1868,Italy,Dead,Male
Christopher Rouse,1949-2019,United States,Dead,Male
