Conductor,Nationality,Gender
Alexander Briger,Australia,Male
Alexander Shelley,United Kingdom,Male
Andrew Haveron,United Kingdom,Male
Andrey Boreyko,Russia,Male
Asher Fisch,Israel,Male
Benjamin Bayl,United Kingdom,Male
Benjamin Northey,Australia,Male
Brett Dean,Australia,Male
Brett Kelly,Australia,Male
Brett Weymark,Australia,Male
Dalia Stasevska,Finland,Female
Dane Lam,Australia,Male
David Robertson,United States,Male
David Stern,United States,Male
Dima Slobodeniouk,Finland,Male
Donald Runnicles,United Kingdom,Male
Edo de Waart,Netherlands,Male
Elim Chan,China,Female
Erik Ochsner,United States,Male
Erin Helyard,Australia,Male
Fabian Russell,Australia,Male
Fabien Gabel,France,Male
Finnegan Downie Dear,United Kingdom,Male
François Leleux,France,Male
Gemma New,New Zealand,Female
Gerard Salonga,Philippines,Male
Gordon Hamilton,Australia,Male
Guy Noble,Australia,Male
Hamish McKeich,New Zealand,Male
Henning Kraggerud,Norway,Male
Iain Grandage,Australia,Male
Jaime Martín,Spain,Male
Jessica Cottis,Australia,Female
John Wilson,United Kingdom,Male
Joshua Tan,Singapore,Male
Jukka-Pekka Saraste,Finland,Male
Julian Kuerti,Canada,Male
Jun Märkl,Germany,Male
Karina Canellakis,United States,Female
Kirill Karabits,Ukraine,Male
Lawrence Renes,Netherlands,Male
Lionel Bringuier,France,Male
Ludovic Morlot,France,Male
Marc Taddei,United States,Male
Marin Alsop,United States,Female
Mark Wigglesworth,United Kingdom,Male
Masaaki Suzuki,Japan,Male
Miguel Harth-Bedoya,Peru,Male
Nicholas Buc,Australia,Male
Nicholas Carter,Australia,Male
Oleg Caetani,Italy,Male
Pietari Inkinen,Finland,Male
Roger Benedict,United Kingdom,Male
Simone Young,Australia,Female
Umberto Clerici,Italy,Male
Unknown,Unknown,Unknown
Vanessa Scammell,Australia,Female
Vladimir Ashkenazy,Russia,Male
Wynton Marsalis,United States,Male
Xian Zhang,China,Female
