venue,date,time,interested,sold_out,title,desc,url
Sydney Town Hall,Wed 30 March,8:00pm,No,No,Mozart & Schubert,"Mozart’s Symphony No.25, written when he was just 17, is compelling music that brings to light his startling, expressive maturity – moving between edge-of-the-seat drama to calmness and on to a swelling finale, creating a journey from the serious to the thrilling. Schubert’s Ninth Symphony, known as his Great symphony, certainly deserves its nickname – amazing us with sublime melodies inspired by Romantic ideals of beauty and expression. Our performance is complete with the astonishingly beautiful sounds of our Principal Trumpet David Elton performing Haydn’s Trumpet Concerto.",https://www.sydneysymphony.com/concerts/mozart-schubert
Sydney Town Hall,Thu 31 March,1:30pm,No,No,Mozart & Schubert,"Mozart’s Symphony No.25, written when he was just 17, is compelling music that brings to light his startling, expressive maturity – moving between edge-of-the-seat drama to calmness and on to a swelling finale, creating a journey from the serious to the thrilling. Schubert’s Ninth Symphony, known as his Great symphony, certainly deserves its nickname – amazing us with sublime melodies inspired by Romantic ideals of beauty and expression. Our performance is complete with the astonishingly beautiful sounds of our Principal Trumpet David Elton performing Haydn’s Trumpet Concerto.",https://www.sydneysymphony.com/concerts/mozart-schubert
Sydney Town Hall,Fri 01 April,8:00pm,No,No,Mozart & Schubert,"Mozart’s Symphony No.25, written when he was just 17, is compelling music that brings to light his startling, expressive maturity – moving between edge-of-the-seat drama to calmness and on to a swelling finale, creating a journey from the serious to the thrilling. Schubert’s Ninth Symphony, known as his Great symphony, certainly deserves its nickname – amazing us with sublime melodies inspired by Romantic ideals of beauty and expression. Our performance is complete with the astonishingly beautiful sounds of our Principal Trumpet David Elton performing Haydn’s Trumpet Concerto.",https://www.sydneysymphony.com/concerts/mozart-schubert
Sydney Town Hall,Sat 02 April,8:00pm,No,No,Mozart & Schubert,"Mozart’s Symphony No.25, written when he was just 17, is compelling music that brings to light his startling, expressive maturity – moving between edge-of-the-seat drama to calmness and on to a swelling finale, creating a journey from the serious to the thrilling. Schubert’s Ninth Symphony, known as his Great symphony, certainly deserves its nickname – amazing us with sublime melodies inspired by Romantic ideals of beauty and expression. Our performance is complete with the astonishingly beautiful sounds of our Principal Trumpet David Elton performing Haydn’s Trumpet Concerto.",https://www.sydneysymphony.com/concerts/mozart-schubert
Sydney Town Hall,Fri 08 April,11:00am,No,No,Beethoven Symphony No.1,"Czech composer Jan Vaňhal was one of the great Viennese composers of his era and this symphony contains all the drama and spirit that made his style so popular. His Czech compatriot Carl Stamitz was a contemporary, best known for his joyful Viola Concerto. With Principal Viola Tobias Breider as soloist, audiences will hear this remarkable work in all its radiance.",https://www.sydneysymphony.com/concerts/beethoven-symphony-1
Sydney Town Hall,Sat 09 April,2:00pm,No,No,Beethoven Symphony No.1,"Czech composer Jan Vaňhal was one of the great Viennese composers of his era and this symphony contains all the drama and spirit that made his style so popular. His Czech compatriot Carl Stamitz was a contemporary, best known for his joyful Viola Concerto. With Principal Viola Tobias Breider as soloist, audiences will hear this remarkable work in all its radiance.",https://www.sydneysymphony.com/concerts/beethoven-symphony-1
Sydney Town Hall,Fri 22 April,11:00am,No,No,Diana Doherty performs Strauss' Oboe Concerto,"Written late in his life, Strauss’ Oboe Concerto is a dazzling masterclass in melody by one of the greatest of melodists, and its rich, flowing writing is skilfully brought to life by our Principal Oboe Diana Doherty. Known around the world for her prodigious talent and dynamic stage presence, her bravura performances of this work set her apart from all others. If you’ve never heard the extraordinarily expressive power of the oboe as a solo instrument, this is the perfect place to start.",https://www.sydneysymphony.com/concerts/diana-doherty-performs-strauss-oboe-concerto
Sydney Town Hall,Sat 23 April,2:00pm,No,No,Diana Doherty performs Strauss' Oboe Concerto,"Written late in his life, Strauss’ Oboe Concerto is a dazzling masterclass in melody by one of the greatest of melodists, and its rich, flowing writing is skilfully brought to life by our Principal Oboe Diana Doherty. Known around the world for her prodigious talent and dynamic stage presence, her bravura performances of this work set her apart from all others. If you’ve never heard the extraordinarily expressive power of the oboe as a solo instrument, this is the perfect place to start.",https://www.sydneysymphony.com/concerts/diana-doherty-performs-strauss-oboe-concerto
Sydney Town Hall,Wed 04 May,8:00pm,No,No,Brahms & Tchaikovsky,"First it was a work for two pianos, then a symphony, and finally the mighty piano concerto we hear today. Brahms’ rich, lush Piano Concerto No.1 showcases his inventive brilliance – from its enormous opening through to its energetic finale, realised here with the pianistic verve and energy of Simon Trpčeski.",https://www.sydneysymphony.com/concerts/brahms-tchaikovsky
Sydney Town Hall,Thu 05 May,1:30pm,No,No,Brahms & Tchaikovsky,"First it was a work for two pianos, then a symphony, and finally the mighty piano concerto we hear today. Brahms’ rich, lush Piano Concerto No.1 showcases his inventive brilliance – from its enormous opening through to its energetic finale, realised here with the pianistic verve and energy of Simon Trpčeski.",https://www.sydneysymphony.com/concerts/brahms-tchaikovsky
Sydney Town Hall,Fri 06 May,8:00pm,No,No,Brahms & Tchaikovsky,"First it was a work for two pianos, then a symphony, and finally the mighty piano concerto we hear today. Brahms’ rich, lush Piano Concerto No.1 showcases his inventive brilliance – from its enormous opening through to its energetic finale, realised here with the pianistic verve and energy of Simon Trpčeski.",https://www.sydneysymphony.com/concerts/brahms-tchaikovsky
Sydney Town Hall,Sat 07 May,8:00pm,No,No,Brahms & Tchaikovsky,"First it was a work for two pianos, then a symphony, and finally the mighty piano concerto we hear today. Brahms’ rich, lush Piano Concerto No.1 showcases his inventive brilliance – from its enormous opening through to its energetic finale, realised here with the pianistic verve and energy of Simon Trpčeski.",https://www.sydneysymphony.com/concerts/brahms-tchaikovsky
Sydney Town Hall,Wed 01 June,8:00pm,No,No,Alexander Gavrylyuk performs Rachmaninov 2,"Rachmaninov’s Second Piano Concerto is not only one of his most famous pieces, but the work that truly established him as a composer of extraordinary power. With searing honesty in every emotion, Rachmaninov’s passion finds an exciting voice in soloist Alexander Gavrylyuk.",https://www.sydneysymphony.com/concerts/alexander-gavrylyuk-performs-rachmaninov2
Sydney Town Hall,Thu 02 June,1:30pm,No,No,Alexander Gavrylyuk performs Rachmaninov 2,"Rachmaninov’s Second Piano Concerto is not only one of his most famous pieces, but the work that truly established him as a composer of extraordinary power. With searing honesty in every emotion, Rachmaninov’s passion finds an exciting voice in soloist Alexander Gavrylyuk.",https://www.sydneysymphony.com/concerts/alexander-gavrylyuk-performs-rachmaninov2
Sydney Town Hall,Fri 03 June,8:00pm,No,No,Alexander Gavrylyuk performs Rachmaninov 2,"Rachmaninov’s Second Piano Concerto is not only one of his most famous pieces, but the work that truly established him as a composer of extraordinary power. With searing honesty in every emotion, Rachmaninov’s passion finds an exciting voice in soloist Alexander Gavrylyuk.",https://www.sydneysymphony.com/concerts/alexander-gavrylyuk-performs-rachmaninov2
Sydney Town Hall,Sat 04 June,8:00pm,No,No,Alexander Gavrylyuk performs Rachmaninov 2,"Rachmaninov’s Second Piano Concerto is not only one of his most famous pieces, but the work that truly established him as a composer of extraordinary power. With searing honesty in every emotion, Rachmaninov’s passion finds an exciting voice in soloist Alexander Gavrylyuk.",https://www.sydneysymphony.com/concerts/alexander-gavrylyuk-performs-rachmaninov2
City Recital Hall,Mon 06 June,7:00pm,No,No,Alexander Gavrylyuk in Recital,Alexander Gavrylyuk has been one of Sydney's favourite pianists since his very first performances here. The dark and dreamy opening bars of Beethoven’s Moonlight Sonata start a journey through the music of the great pianist-composers.,https://www.sydneysymphony.com/concerts/alexander-gavrylyuk-in-recital
City Recital Hall,Wed 08 June,7:00pm,No,No,The Italian Baroque,The riches of the Venetian empire weren’t just silk and gold. The Italian Baroque lavished crowds with some of the most glorious and uplifting compositions of the time – five of which you’ll experience tonight.,https://www.sydneysymphony.com/concerts/the-italian-baroque-2022
City Recital Hall,Thu 09 June,7:00pm,No,No,The Italian Baroque,The riches of the Venetian empire weren’t just silk and gold. The Italian Baroque lavished crowds with some of the most glorious and uplifting compositions of the time – five of which you’ll experience tonight.,https://www.sydneysymphony.com/concerts/the-italian-baroque-2022
City Recital Hall,Wed 22 June,7:00pm,No,No,Inspired by Bach,"Like his father Johann Sebastian, CPE Bach was one of the most celebrated composers of his day, and his voice was just as original. Written as music evolved from Baroque to Classical, his Symphony in A is, in equal parts, opulent and bright – a masterful progression of his father’s style, superbly heard in Johann Sebastian’s Concerto for Oboe and Violin. This shining example of what made the older Bach the master of the Baroque is an opportunity for Sydney Symphony soloists to shine as well.",https://www.sydneysymphony.com/concerts/inspired-by-bach
City Recital Hall,Thu 23 June,7:00pm,No,No,Inspired by Bach,"Like his father Johann Sebastian, CPE Bach was one of the most celebrated composers of his day, and his voice was just as original. Written as music evolved from Baroque to Classical, his Symphony in A is, in equal parts, opulent and bright – a masterful progression of his father’s style, superbly heard in Johann Sebastian’s Concerto for Oboe and Violin. This shining example of what made the older Bach the master of the Baroque is an opportunity for Sydney Symphony soloists to shine as well.",https://www.sydneysymphony.com/concerts/inspired-by-bach
"Utzon Room, Sydney Opera House",Fri 24 June,6:00pm,No,No,Beethoven & Mozart,"While we don’t know for whom Beethoven wrote his Sextet for Horns and String Quartet, it’s clear he had two masterful horn players in mind. The work is a perfect platform for our musicians as they meet the challenge of this energetic and exuberant music.",https://www.sydneysymphony.com/concerts/beethoven-mozart-2022
"Utzon Room, Sydney Opera House",Sat 25 June,6:00pm,No,No,Beethoven & Mozart,"While we don’t know for whom Beethoven wrote his Sextet for Horns and String Quartet, it’s clear he had two masterful horn players in mind. The work is a perfect platform for our musicians as they meet the challenge of this energetic and exuberant music.",https://www.sydneysymphony.com/concerts/beethoven-mozart-2022
"Concert Hall, Sydney Opera House",Wed 20 July,8:00pm,No,No,Simone Young conducts Mahler 2,"Mahler worked on this symphony in Hamburg as musical director for the Hamburg State Opera – the same company for which Simone Young recently held the same position. Popularly known as the Resurrection Symphony, it’s one of Mahler’s best known and most celebrated. A powerful, soul-shaking landscape of sound. A passionate and expansive journey that would eventually, in Mahler’s words, raise “to the highest heights.”",https://www.sydneysymphony.com/concerts/simone-young-conducts-mahler2
